A. Jędrych,59,26,RCB,64,Zagłębie Sosnowiec,€170K,Right
J. Serafin,59,22,CM,66,Cracovia,€220K,Right
M. Kuchta,59,22,GK,68,Zagłębie Lubin,€180K,Right
A. Banasiak,59,28,LDM,59,Zagłębie Sosnowiec,€130K,Left
K. Niemczycki,58,18,GK,73,NAC Breda,€210K,Right
M. Staniszewski,58,21,GK,62,Arka Gdynia,€120K,Right
M. Urynowicz,58,22,ST,64,Górnik Zabrze,€180K,Right
B. Sielewski,58,33,CB,58,Wisła Płock,€50K,Right
M. Firlej,58,21,ST,65,Korona Kielce,€180K,Right
R. Borkała,58,19,RM,72,Piast Gliwice,€270K,Right
L. Klemenz,58,22,CB,67,Jagiellonia Białystok,€170K,Right
P. Tomczyk,58,20,ST,64,Lech Poznań,€180K,Right
D. Liszka,58,18,LM,68,Górnik Zabrze,€190K,Left
S. Kowalczyk,58,19,RM,71,Pogoń Szczecin,€240K,Right
S. Milewski,58,20,CDM,67,Zagłębie Sosnowiec,€170K,Right
P. Sokołowski,58,23,CDM,64,Piast Gliwice,€150K,Right
J. Bursztyn,57,20,GK,65,Pogoń Szczecin,€120K,Right
K. Stanek,57,18,ST,68,Piast Gliwice,€170K,Right
A. Wolniewicz,57,25,RB,60,Górnik Zabrze,€110K,Right
M. Młyński,57,17,CAM,72,Arka Gdynia,€210K,Right
M. Wasielewski,57,24,RB,59,Lech Poznań,€100K,Right
M. Radecki,57,25,CM,58,Śląsk Wrocław,€120K,Right
K. Szymański,56,25,GK,56,Lech Poznań,€60K,Right
M. Orłowski,56,24,RB,59,Lech Poznań,€90K,Right
W. Biedrzycki,56,20,CDM,64,Górnik Zabrze,€120K,Right
D. Szczepan,56,23,ST,58,Śląsk Wrocław,€110K,Right
M. Lis,56,21,GK,63,Wisła Kraków,€90K,Right
T. Makowski,56,18,CM,73,Lechia Gdańsk,€180K,Right
K. Dybowski,56,21,GK,65,Piast Gliwice,€110K,Right
M. Bulka,56,18,GK,74,Chelsea,€150K,Right
D. Pawłowski,56,19,RB,66,Górnik Zabrze,€120K,Right
M. Idzik,56,21,ST,65,Miedź Legnica,€140K,Right
M. Sopoćko,56,19,CAM,69,Lechia Gdańsk,€170K,Right
R. Majecki,56,18,GK,76,Legia Warszawa,€150K,Right
M. Żyro,56,19,CB,70,Miedź Legnica,€180K,Right
M. Śliwa,56,17,CAM,75,Wisła Kraków,€180K,Right
P. Pierzchała,56,19,CB,65,Korona Kielce,€120K,Right
H. Sobol,55,18,ST,66,Lech Poznań,€140K,Right
D. Bielica,55,19,GK,69,Górnik Zabrze,€160K,Right
J. Łoś,55,17,ST,76,Arka Gdynia,€200K,Right
B. Niezgoda,55,18,GK,73,Jagiellonia Białystok,€150K,Right
D. Błanik,55,21,RM,64,Pogoń Szczecin,€140K,Right
O. Nowak,55,20,ST,64,Zagłębie Lubin,€140K,Right
J. Łabojko,55,20,CDM,64,Śląsk Wrocław,€120K,Right
A. Benedyczak,55,17,ST,73,Pogoń Szczecin,€180K,Right
A. Kajpust,55,19,CB,63,Cracovia,€110K,Right
R. Sulewski,55,24,RB,61,Arka Gdynia,€100K,Right
P. Samiec-Talar,55,16,ST,73,Śląsk Wrocław,€180K,Right
M. Malec,54,23,LCB,61,Pogoń Szczecin,€80K,Left
D. Gąska,54,21,RM,58,Śląsk Wrocław,€90K,Right
M. Molenda,54,17,GK,74,Arka Gdynia,€110K,Right
P. Plewka,54,18,CDM,66,Wisła Kraków,€110K,Right
D. Pik,54,17,LM,68,Cracovia,€130K,Right
K. Kumor,54,18,RM,71,Zagłębie Sosnowiec,€140K,Right
S. Łapiński,54,17,CAM,71,Jagiellonia Białystok,€130K,Right
D. Łuczak,54,21,LM,62,Śląsk Wrocław,€100K,Right
A. Tymiński,54,18,CB,67,Piast Gliwice,€110K,Right
D. Pakulski,54,19,RM,63,Zagłębie Lubin,€100K,Right
P. Wiśniewski,54,19,RB,64,Górnik Zabrze,€90K,Right
K. Krzepisz,54,18,GK,62,Arka Gdynia,€70K,Right
D. Szczerbal,53,22,GK,56,Śląsk Wrocław,€50K,Right
F. Majchrowicz,53,18,GK,65,Cracovia,€80K,Right
M. Zapytowski,53,17,GK,65,Wisła Płock,€70K,Right
A. Piróg,53,18,CM,65,Korona Kielce,€100K,Right
